round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.1,0.16879999999999995,5.5872899999999985,5.7560899999999995,0.0005399301396206255
2,0.2462,0.21759999999999996,7.139314999999999,7.356915000000001,0.000686763870325221
3,0.3351,0.1368,4.6560749999999995,4.792875,0.0006291084036637381
4,0.38,0.17279999999999995,5.5872899999999985,5.76009,0.0004451401260094025
5,0.403,0.12079999999999999,4.035264999999999,4.156065,0.00036097345627880613
6,0.4097,0.1608,5.276885,5.437685,0.0007893397668290341
7,0.4127,0.1464,4.6560749999999995,4.802475,0.0004137757977430652
8,0.4103,0.16879999999999998,5.587289999999999,5.75609,0.0008867085587006277
9,0.4519,0.17120000000000002,5.897695000000001,6.068895000000001,0.0004078144126660867
10,0.4579,0.19119999999999998,6.208100000000001,6.3993,0.000563299867738852
11,0.4484,0.17279999999999998,5.587289999999999,5.76009,0.0005239157544513634
12,0.4695,0.1592,5.276885,5.436085,0.00043273920141759464
13,0.4825,0.18880000000000002,6.2081,6.3969000000000005,0.000664275775651611
14,0.4959,0.15119999999999997,4.96648,5.11768,0.00040267973474282444
15,0.4951,0.1832,6.2081,6.391299999999999,0.0005618139344307484
16,0.5141,0.18719999999999998,6.208099999999999,6.395299999999999,0.0005452373553544621
17,0.4962,0.24639999999999998,8.07053,8.316930000000001,0.0004093347160154597
18,0.5089,0.21759999999999996,7.139315,7.356915000000001,0.0008936493145831223
19,0.5148,0.22559999999999997,7.44972,7.675320000000001,0.0010188053164600034
20,0.5357,0.12240000000000001,4.035265,4.157665,0.0003055773047079631
21,0.551,0.1808,5.897695,6.078495,0.0005411997183522305
22,0.5364,0.1544,4.96648,5.1208800000000005,0.00040633254936966177
23,0.5393,0.17679999999999998,5.897695,6.074495000000001,0.0005317375143885769
24,0.5695,0.1672,5.58729,5.7544900000000005,0.00033007163329892505
25,0.5483,0.1712,5.58729,5.75849,0.0004053738651954063
26,0.5731,0.09200000000000003,3.1040499999999995,3.1960499999999996,0.00021843777379538146
27,0.5575,0.1672,5.587289999999999,5.7544900000000005,0.0005391138839263547
28,0.5568,0.1912,6.2081,6.3993,0.0008490930828035295
29,0.5716,0.1264,4.345669999999999,4.4720699999999995,0.0004705754120905252
30,0.5888,0.22799999999999995,7.44972,7.677720000000001,0.0009465909217387023
31,0.5724,0.1688,5.58729,5.75609,0.0005468139320664339
32,0.5855,0.1992,6.518505,6.7177050000000005,0.0007650434977252811
33,0.6043,0.16479999999999997,5.276884999999999,5.4416850000000005,0.0006624651447052014
34,0.591,0.1672,5.587289999999999,5.7544900000000005,0.0007177837056284449
35,0.6053,0.1768,5.897695000000001,6.074495000000001,0.00046864592093397156
36,0.6187,0.15680000000000002,5.276885,5.4336850000000005,0.0005893126452297408
37,0.6117,0.14079999999999998,4.6560749999999995,4.796875,0.00027214204634029516
38,0.6138,0.1008,3.4144549999999994,3.515255,0.0003455238432632043
39,0.6098,0.10400000000000001,3.4144550000000002,3.5184550000000003,0.00033802719741477064
40,0.6057,0.19119999999999998,6.208099999999999,6.3993,0.0008050424023169782
41,0.6154,0.1936,6.518505000000001,6.712105000000001,0.0006122273309237297
42,0.6309,0.11840000000000002,4.035264999999999,4.153664999999999,0.00031097935758440714
43,0.642,0.1752,5.897695000000001,6.072895000000001,0.0004927820602930277
44,0.6321,0.11040000000000003,3.7248599999999996,3.8352599999999994,0.0005379806191911595
45,0.643,0.1304,4.345669999999999,4.47607,0.0005087517030578398
46,0.6408,0.17279999999999998,5.587289999999999,5.76009,0.0005438638344763804
47,0.6384,0.13279999999999997,4.345669999999999,4.47847,0.0002443599613418233
48,0.6374,0.1488,4.966479999999999,5.115279999999999,0.0004651341058820404
49,0.6326,0.19119999999999998,6.2081,6.3993,0.0007539541054994684
50,0.6468,0.10880000000000001,3.7248599999999996,3.8336599999999996,0.00028009640578777537
51,0.65,0.1304,4.345669999999999,4.47607,0.0006014102920149554
52,0.6564,0.1592,5.276885,5.436085,0.0006759001858823576
53,0.6516,0.16319999999999998,5.276885,5.440085,0.0006523916780334518
54,0.6378,0.19279999999999997,6.208099999999999,6.4009,0.0006499206226571096
55,0.6633,0.1976,6.518505,6.716105000000001,0.0006805186542690286
56,0.6556,0.17679999999999998,5.897695,6.074495000000001,0.0005090946633264985
57,0.6717,0.1104,3.724859999999999,3.8352599999999994,0.0003970033346747296
58,0.6674,0.1248,4.34567,4.47047,0.0005746614208997245
59,0.6611,0.09040000000000001,3.10405,3.19445,0.00023910916727849899
60,0.665,0.1992,6.518505,6.7177050000000005,0.0004464073177019417
61,0.6685,0.26799999999999996,8.691339999999999,8.959340000000001,0.0007984325788769962
62,0.671,0.22959999999999997,7.44972,7.679320000000001,0.0006052537522805805
63,0.6809,0.23599999999999996,7.760125,7.996125000000001,0.0006484993575351116
64,0.6776,0.16959999999999997,5.58729,5.75689,0.0005755069419876308
65,0.6849,0.21759999999999996,7.139315,7.356915000000001,0.0007209867301209574
66,0.675,0.21759999999999996,7.139315,7.356915000000001,0.0005440498194559753
67,0.6732,0.1624,5.276884999999999,5.439285,0.0006112751488702806
68,0.6933,0.1528,4.96648,5.11928,0.0005815149621566959
69,0.6884,0.18719999999999998,6.2081,6.395300000000001,0.00037670245147440124
70,0.6791,0.1688,5.587289999999999,5.7560899999999995,0.0005447927085247251
71,0.6903,0.1264,4.035265,4.161665,0.0006366130772984485
72,0.6792,0.10239999999999999,3.414455,3.516855,0.00023702415843535388
73,0.6882,0.16879999999999998,5.587289999999999,5.75609,0.0004865343044099585
74,0.7039,0.19919999999999996,6.518504999999999,6.7177050000000005,0.0007919465997145974
75,0.6931,0.09840000000000002,3.414455,3.5128549999999996,0.00030912068385998326
76,0.703,0.09839999999999999,3.4144550000000002,3.512855,0.0003883611439393883
77,0.6878,0.1368,4.6560749999999995,4.7928749999999996,0.0007360767887251051
78,0.6927,0.15680000000000002,5.276885,5.4336850000000005,0.0004918992027947532
79,0.7055,0.21759999999999996,7.139315,7.356915000000001,0.0009188688011581636
80,0.6978,0.1472,4.96648,5.11368,0.00030512874925951364
81,0.6866,0.12079999999999999,4.035265,4.156065,0.0002155712448101349
82,0.7077,0.10640000000000002,3.724859999999999,3.8312599999999994,0.00035845216092326065
83,0.7049,0.15680000000000002,5.276885000000001,5.4336850000000005,0.0003654216033585987
84,0.7127,0.08399999999999999,2.7936449999999997,2.877645,0.0003051333005222441
85,0.6986,0.1528,4.966479999999999,5.11928,0.0005597019826038347
86,0.7069,0.1808,5.897695,6.078495,0.000639880034007958
87,0.7103,0.092,3.10405,3.19605,0.0003346150053246635
88,0.7018,0.1344,4.34567,4.4800699999999996,0.00040696988955203644
89,0.7034,0.28879999999999995,9.312149999999999,9.600950000000001,0.0006741511690923352
90,0.7043,0.20159999999999997,6.8289100000000005,7.03051,0.0007276499039695503
91,0.7107,0.16720000000000002,5.58729,5.7544900000000005,0.0006866115834789798
92,0.7163,0.14880000000000002,4.96648,5.11528,0.0004137147787312657
93,0.717,0.2176,7.139315000000001,7.356915000000001,0.0007118812875100458
94,0.7168,0.2296,7.44972,7.679320000000001,0.00041793898097311244
95,0.7238,0.07200000000000001,2.48324,2.55524,0.0002351397081853632
96,0.7194,0.17919999999999997,5.897695,6.076895,0.0006531689877136994
97,0.7205,0.1528,5.276885,5.429684999999999,0.0007587883012916747
98,0.7274,0.14880000000000002,4.96648,5.11528,0.0005937431149671446
99,0.7218,0.1384,4.6560749999999995,4.794475,0.0005234690338199346
100,0.726,0.23759999999999995,7.7601249999999995,7.997725000000001,0.0009166191602809055
